id,image,back_camera,chips,id_api,liked,max_price,min_price,name,operational_system,rating,rating_number,screen_size,brand,type
7502,http://thumbs.buscape.com.br/celular-e-smartphone/celular-samsung-sgh-c160_200x200-PU15943_1.jpg,NULL,Single Chip,88387,0,NULL,NULL,Celular Samsung SGH-C160,NULL,8,1,NULL,Samsung,Celular
7503,http://thumbs.buscape.com.br/celular-e-smartphone/celular-nokia-6300_200x200-PU1614d_1.jpg,2.0,Single Chip,90445,0,NULL,NULL,Celular Nokia 6300,NULL,10,1,NULL,Nokia,Celular
7504,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-nokia-9500_200x200-PU166a3_1.jpg,0.3,Single Chip,91811,0,NULL,NULL,Smartphone Nokia 9500,Symbian,10,1,NULL,Nokia,Smartphone
7505,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-nokia-n93_200x200-PU16701_1.jpg,3.0,NULL,91905,0,NULL,NULL,Smartphone Nokia N93,Symbian,8,1,NULL,Nokia,Smartphone
7506,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-htc-tytn_200x200-PU181ea_1.jpg,2.0,Single Chip,98794,0,NULL,NULL,Smartphone HTC TYTN,Windows Mobile,10,1,NULL,HTC,Smartphone
7507,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-palm-treo-750_200x200-PU18cbe_1.jpg,1.3,NULL,101566,0,NULL,NULL,Smartphone Palm Treo 750,NULL,6,1,2.6,Palm,Smartphone
7508,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-sony-ericsson-p1i_200x200-PU1aa05_1.jpg,3.15,NULL,109061,0,NULL,NULL,Smartphone Sony Ericsson P1i,Symbian,6,1,2.4,Sony,Smartphone
7509,http://thumbs.buscape.com.br/celular-e-smartphone/celular-nokia-7500_200x200-PU1be28_1.jpg,2.0,NULL,114216,0,NULL,NULL,Celular Nokia 7500,NULL,0,1,2.0,Nokia,Celular
7510,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-hp-ipaq-510_200x200-PU1d3b8_1.jpg,1.3,Single Chip,119736,0,NULL,NULL,Smartphone HP Ipaq 510,Windows Mobile,6,1,2.0,HP,Smartphone
7511,http://thumbs.buscape.com.br/celular-e-smartphone/celular-samsung-sgh-c421_200x200-PU1d73e_1.jpg,0.3,Single Chip,120638,0,NULL,NULL,Celular Samsung SGH-C421,NULL,10,1,NULL,Samsung,Celular
7512,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-blackberry-curve-8320_200x200-PU1eaab_1.jpg,2.0,Single Chip,125611,0,NULL,NULL,Smartphone BlackBerry Curve 8320,NULL,8,1,NULL,BlackBerry,Smartphone
7513,http://thumbs.buscape.com.br/celular-e-smartphone/celular-dotcom-mb-2300_200x200-PU275fd_1.jpg,1.3,Dual Chip,161277,0,NULL,NULL,Celular Dotcom MB 2300,NULL,6,1,NULL,Dotcom,Celular
7514,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-hp-ipaq-910_200x200-PU28b57_1.jpg,3.0,NULL,166743,0,NULL,NULL,Smartphone HP iPAQ 910,Windows Mobile,10,1,2.4,HP,Smartphone
7515,http://thumbs.buscape.com.br/celular-e-smartphone/celular-lg-kp245_200x200-PU31047_1.jpg,2.0,Single Chip,200775,0,NULL,NULL,Celular LG KP245,NULL,6,1,NULL,LG,Celular
